,Name,Lowest price,Price per slot,Trader price,Last update,Hash EN,Hash RU
0,.300 AAC Blackout AP,1000,1000,136,Price updated 16 minutes ago,0d5c499ca3bb58095cfc33a2644ce262,None
1,.300 BPZ AAC Blackout,599,599,44,Price updated an hour ago,31c5cb33d708f8501dd8120a5b632143,None
2,.338 Lapua Magnum AP,20000,20000,1484,Price updated 16 minutes ago,0eb32073c6b0d35b4193f5dd576051ad,None
3,.338 Lapua Magnum FMJ,8900,8900,538,Price updated an hour ago,45c19dda4861f9fc20ea085c6b1fe85b,None
4,.338 Lapua Magnum TAC-X,550,550,616,Price updated an hour ago,08d78e041992eb8912eb2f519e92a7ad,None
5,.338 UPZ Lapua Magnum,777,777,420,Price updated an hour ago,14e2c5e6e79035cd424387e1deb944f6,None
6,.366 AP,698,698,113,Price updated an hour ago,fe52f1889403e5ab2f117bd2abd59ac7,None
7,.366 TKM EKO,60,60,36,Price updated 2 days ago,77b6299a1c7051179252c7e092f3758b,None
8,.366 TKM FMJ,50,50,24,Price updated 5 days ago,b92f3268a1624d1abf3e5ec0f1554ee2,None
9,.366 TKM Geksa,166,166,32,Price updated 1 an hour ago,b92f3268a1624d1abf3e5ec0f1554ee2,None
10,.45 ACP AP,4000,4000,81,Price updated an hour ago,b92f3268a1624d1abf3e5ec0f1554ee2,None
11,.45 ACP FMJ,370,370,46,Price updated an hour ago,61796680ba16e241924f8b3953599801,None
12,.45 ACP Hydra-Shok,1000,1000,55,Price updated 1 an hour ago,61796680ba16e241924f8b3953599801,None
13,.45 ACP Lasermatch FMJ,700,700,49,Price updated 8 hours ago,5ef2f52d8e33fd878a0cd965e118009d,None
14,.45 RIP,499,499,225,Price updated 32 minutes ago,1b9fee53af06a5a995bf3fc0f90f7f74,None
15,12.7x108 mm B-32,0,0,0,None,No hash,None
16,12.7x108 mm BZT-44M,0,0,0,None,No hash,None
17,12.7x55 mm PS12,997,997,190,Price updated 5 hours ago,20f30e4bf0b3f548290cc1805c17b5b7,None
18,12.7x55 mm PS12A,160,160,157,Price updated 2 hours ago,009d376eb8112e4d5b444e8cb06a948b,None
19,12.7x55 mm PS12B,569,569,255,Price updated 2 hours ago,20f30e4bf0b3f548290cc1805c17b5b7,None
20,"12/70 ""Poleva-3"" Slug",55,55,29,Price updated 2 days ago,9de632e086be1902479e5edb75dbd870,54be2b8c7cae31557a7ee48019e8c892
21,"12/70 ""Poleva-6u"" Slug",180,180,38,Price updated 1 an hour ago,4bd0d121f419476f3cd9c2101a2380c2,None
22,12/70 5.25mm Buckshot,37,37,20,Price updated 10 days ago,e15e8d3099d49ffbe3a9b73e0fc52276,No hash
23,"12/70 8.5 mm ""Magnum"" Buckshot",380,380,28,Price updated an hour ago,367de9f1237c0897ee0848abf9760ee5,None
24,12/70 AP-20 Slug,888,888,77,Price updated 28 minutes ago,8865b5f7c3f9b3d3c306bf9974d81beb,None
25,12/70 Dual Sabot Slug,199,199,38,Price updated 3 hours ago,8865b5f7c3f9b3d3c306bf9974d81beb,None
26,12/70 FTX Custom LIte Slug,100,100,40,Price updated 5 hours ago,ec34d93c78ef57b99dbadf4f60efa3ae,None
27,12/70 Flechette,190,190,42,Price updated 36 minutes ago,57ce49736d590f017eb80040f8ccf69c,None
28,12/70 Grizzly 40 Slug,60,60,37,Price updated 2 hours ago,eca8b53d1ced9d827cbecb395e9508c1,None
29,"12/70 HP Slug ""SuperFormance""",104,104,108,Price updated an hour ago,f1156fa1f9630c14c93fcd516d51a1d9,None
30,12/70 HP Slug Copper Sabot Premier,1300,1300,46,Price updated 1 an hour ago,f1156fa1f9630c14c93fcd516d51a1d9,None
31,"12x70 6.5 mm ""Express"" Buckshot",999,999,22,Price updated 8 hours ago,f1156fa1f9630c14c93fcd516d51a1d9,None
32,12x70 7mm Buckshot,32,32,17,Price updated 5 days ago,7111a2689cc93d47f8d4c22b6283c623,None
33,12x70 Led slug,37,37,31,Price updated 5 days ago,7111a2689cc93d47f8d4c22b6283c623,None
34,12x70 RIP,420,420,169,Price updated 2 hours ago,42ee1ebe964dfca31896e274024808c9,None
35,12x70 shell with .50 BMG bullet,900,900,69,Price updated 6 hours ago,75ab5df2fc716abd1a4d55aab391b4ff,None
36,20/70 5.6mm Buckshot,100,100,11,Price updated 4 days ago,75ab5df2fc716abd1a4d55aab391b4ff,None
37,20/70 6.2mm Buckshot,35,35,17,Price updated 3 days ago,53f6d4adc807d9c16992a87749775f55,None
38,20/70 7.3mm Buckshot,40,40,21,Price updated 1 an hour ago,6d10edcd9f31be1f02056e9f00f0e111,None
39,20/70 Devastator Slug,269,269,101,Price updated 2 hours ago,6d10edcd9f31be1f02056e9f00f0e111,None
40,"20/70 Slug ""Poleva-3""",48,48,27,Price updated 5 days ago,21a1f62fcf870becdf641fd324cc4353,None
41,20/70 Slug Poleva-6u,422,422,36,Price updated 1 an hour ago,db6d7f470c314640b75d7fc03e789522,None
42,20/70 Star Slug,200,200,45,Price updated 1 an hour ago,204fcbbafde308b735a83493231de730,None
43,20x70 7.5mm Buckshot,32,32,13,Price updated 2 days ago,2eeb3807d66766075234603bdab68d13,None
